Symbol,Name,Last_Sale,Net_Change,Percent_Change,Market_Cap,Volume,Sector,Industry
ALAB,Astera Labs Inc. Common Stock,$53.52 ,-1.23,-2.25%,8384267440,3891047,Technology,Semiconductors
AGI,Alamos Gold Inc. Class A Common Shares,$19.97 ,-0.47,-2.30%,8381761650,2797840,Basic Materials,Precious Metals
BWA,BorgWarner Inc. Common Stock,$36.75 ,0.94,2.63%,8370509831,4615731,Consumer Discretionary,Auto Parts:O.E.M.
TIMB,TIM S.A. American Depositary Shares (Each representing 5 Common Shares) ,$17.28 ,0.09,0.52%,8366300006,1695792,Telecommunications,Telecommunications Equipment
LCID,Lucid Group Inc. Common Stock,$3.59 ,0.05,1.41%,8324767353,32881874,Consumer Discretionary,Auto Manufacturing
FHN,First Horizon Corporation Common Stock,$15.51 ,0.12,0.78%,8311701423,10649759,Finance,Major Banks
TEM,Tempus AI Inc. Class A Common Stock,$53.84 ,1.97,3.80%,8308519454,754667,Technology,Computer Software: Programming Data Processing
AYI,Acuity Brands Inc. ,$270.00 ,0.26,0.10%,8306663130,345139,Consumer Discretionary,Building Products
GTLB,GitLab Inc. Class A Common Stock,$51.65 ,0.24,0.47%,8289825000,948095,Technology,Computer Software: Prepackaged Software
AS,Amer Sports Inc. Ordinary Shares,$16.38 ,0.5,3.15%,8275988563,2364023,Consumer Discretionary,Apparel
BRX,Brixmor Property Group Inc. Common Stock,$27.40 ,0.03,0.11%,8256863576,1534047,Real Estate,Real Estate Investment Trusts
COTY,Coty Inc. Class A Common Stock,$9.51 ,0.03,0.32%,8253207966,4998470,Consumer Discretionary,Package Goods/Cosmetics
FMC,FMC Corporation Common Stock,$66.08 ,0.11,0.17%,8248393973,1190979,Industrials,Major Chemicals
ATI,ATI Inc. Common Stock,$66.27 ,0.95,1.45%,8248216954,1601879,Industrials,Steel/Iron Ore
AGNC,AGNC Investment Corp. Common Stock,$10.53 ,0.13,1.25%,8239350574,17188339,Real Estate,Real Estate Investment Trusts
DBX,Dropbox Inc. Class A Common Stock,$25.31 ,0.33,1.32%,8236319456,2168387,Technology,Computer Software: Prepackaged Software
